Old Dominion,24,H,Texas State,14
San Jose State,24,H,Wyoming,14
South Carolina,35,A,Oklahoma,9
South Florida,35,H,Alabama-Birmingham,25
Southern Methodist,40,A,Stanford,10
Temple,20,H,Tulsa,10
Tennessee,24,H,Alabama,17
Texas A&M,34,A,Mississippi State,24
Texas Christian,13,A,Utah,7
Texas-San Antonio,38,H,Florida Atlantic,24
Toledo,13,A,Northern Illinois,6
Tulane,24,H,Rice,10
UCLA,35,A,Rutgers,32
Vanderbilt,24,H,Ball State,14
Wake Forest,23,A,Connecticut,20
Washington State,42,H,Hawaii,10
Western Michigan,48,A,Buffalo,41
Wisconsin,23,A,Northwestern,3
Louisiana Tech,14,H,Texas-El Paso,10
Sam Houston,10,A,Florida International,7
Jacksonville State,42,H,Middle Tennessee State,20
Kennesaw State,27,H,Liberty,24
Old Dominion,47,H,Georgia Southern,19
Pittsburgh,41,H,Syracuse,13
Boise State,29,A,Nevada-Las Vegas,24
Louisville,31,A,Boston College,27
Southern California,42,H,Rutgers,20
Akron,25,H,Eastern Michigan,21
Alabama,34,H,Missouri,0
Appalachian State,33,H,Georgia State,26
Arkansas,58,A,Mississippi State,25
Arkansas State,34,H,Troy,31
Auburn,24,A,Kentucky,10
Ball State,25,H,Northern Illinois,23
Baylor,38,H,Oklahoma State,28
Bowling Green,41,A,Toledo,26
Brigham Young,37,A,Central Florida,24
California,44,H,Oregon State,7
Colorado,34,H,Cincinnati,23
Colorado State,17,H,New Mexico,6
Connecticut,17,H,Rice,10
East Carolina,56,H,Temple,34
Fresno State,33,H,San Jose State,10
Houston,17,H,Utah,14
Indiana,31,H,Washington,17
Iowa,40,H,Northwestern,14
James Madison,32,H,Southern Mississippi,15
Kansas State,29,H,Kansas,27
Massachusetts,35,H,Wagner,7
Memphis,33,H,Charlotte,28
Miami FL,36,H,Florida State,14
Miami OH,46,H,Central Michigan,7
Michigan,24,H,Michigan State,17
Minnesota,48,H,Maryland,23
Mississippi,26,H,Oklahoma,14
North Carolina,41,A,Virginia,14
Notre Dame,51,N,Navy,14
Ohio,47,H,Buffalo,16
Ohio State,21,H,Nebraska,17
Oregon,38,H,Illinois,9
Penn State,28,A,Wisconsin,13
South Alabama,46,H,Louisiana-Monroe,17
Southern Methodist,28,A,Duke,27
Texas,27,A,Vanderbilt,24
Texas A&M,38,H,Louisiana State,23
Texas Christian,35,H,Texas Tech,34
Tulane,45,A,North Texas,37
Tulsa,46,H,Texas-San Antonio,45
Utah State,27,A,Wyoming,25
Virginia Tech,21,H,Georgia Tech,6
Wake Forest,27,A,Stanford,24
Washington State,29,A,San Diego State,26
West Virginia,31,A,Arizona,26
Western Michigan,52,H,Kent State,21
Hawaii,34,H,Nevada,13
Florida International,34,H,New Mexico State,13
Louisiana,23,A,Texas State,17
Sam Houston,9,H,Louisiana Tech,3
Jacksonville State,31,A,Liberty,21
Western Kentucky,31,H,Kennesaw State,14
Tulane,34,A,Charlotte,3
Boise State,56,H,San Diego State,24
Connecticut,34,H,Georgia State,27
South Florida,44,A,Florida Atlantic,21
Alabama-Birmingham,59,H,Tulsa,21
Appalachian State,28,H,Old Dominion,20
Arizona State,42,A,Oklahoma State,21
Army,20,H,Air Force,3
Baylor,37,H,Texas Christian,34
Buffalo,41,A,Akron,30
Central Florida,56,H,Arizona,12
Colorado State,38,A,Nevada,21
Georgia,34,N,Florida,20
Georgia Southern,34,A,South Alabama,30
Hawaii,21,A,Fresno State,20
Houston,24,H,Kansas State,19
Indiana,47,A,Michigan State,10
Iowa,42,H,Wisconsin,10
Louisville,33,A,Clemson,21
Marshall,28,H,Louisiana-Monroe,23
Miami FL,53,H,Duke,31
Middle Tennessee State,20,A,Texas-El Paso,13
Minnesota,25,A,Illinois,17
Mississippi,63,A,Arkansas,31
Mississippi State,45,H,Massachusetts,20
North Carolina,35,A,Florida State,11
North Carolina State,59,H,Stanford,28
Northwestern,26,A,Purdue,20
Ohio State,20,A,Penn State,13
Oklahoma,59,H,Maine,14
Oregon,38,A,Michigan,17
Rice,24,H,Navy,10
South Carolina,44,H,Texas A&M,20
Southern Methodist,48,H,Pittsburgh,25
Syracuse,38,H,Virginia Tech,31
Tennessee,28,H,Kentucky,18
Texas Tech,23,A,Iowa State,22
Texas-San Antonio,44,H,Memphis,36
Toledo,29,A,Eastern Michigan,28
Troy,38,H,Coastal Carolina,24
UCLA,27,A,Nebraska,20
Vanderbilt,17,A,Auburn,7
Washington,26,H,Southern California,21
Wyoming,49,A,New Mexico,45
Bowling Green,23,A,Central Michigan,13
Miami OH,27,A,Ball State,21
Northern Illinois,42,A,Western Michigan,28
Ohio,41,A,Kent State,0
Coastal Carolina,38,H,Appalachian State,24
East Carolina,49,H,Florida Atlantic,14
California,46,A,Wake Forest,36
Memphis,27,H,Rice,20
New Mexico,21,A,San Diego State,16
UCLA,20,H,Iowa,17
Air Force,36,H,Fresno State,28
Alabama,42,A,Louisiana State,13
Arizona State,35,H,Central Florida,31
Army,14,A,North Texas,3
Boise State,28,H,Nevada,21
Boston College,37,H,Syracuse,31
Brigham Young,22,A,Utah,21
Clemson,24,A,Virginia Tech,14
Colorado,41,A,Texas Tech,27
Connecticut,31,A,Alabama-Birmingham,23
Duke,29,A,North Carolina State,19
Georgia Tech,28,H,Miami FL,23
Indiana,20,H,Michigan,15
Jacksonville State,44,A,Louisiana Tech,37
James Madison,38,H,Georgia State,7
Kansas,45,H,Iowa State,36
Liberty,37,A,Middle Tennessee State,17
Louisiana,55,H,Arkansas State,19
Marshall,37,A,Southern Mississippi,3
Mississippi,28,H,Georgia,10
Missouri,30,H,Oklahoma,23
Navy,28,A,South Florida,7
Nevada-Las Vegas,29,A,Hawaii,27
Notre Dame,52,H,Florida State,3
Ohio State,45,H,Purdue,0
Oregon,39,H,Maryland,18
Penn State,35,H,Washington,6
Rutgers,26,H,Minnesota,19
San Jose State,24,A,Oregon State,13
South Carolina,28,A,Vanderbilt,7
Tennessee,33,H,Mississippi State,14
Texas,49,H,Florida,17
Texas Christian,38,H,Oklahoma State,13
Texas State,38,A,Louisiana-Monroe,17
Texas-El Paso,43,H,Kennesaw State,35
Tulane,52,H,Temple,6
Virginia,24,A,Pittsburgh,19
Washington State,49,H,Utah State,28
West Virginia,31,A,Cincinnati,24
Western Kentucky,41,A,New Mexico State,28
Bowling Green,31,H,Western Michigan,13
Buffalo,51,H,Ball State,48
Toledo,37,H,Central Michigan,10
Miami OH,34,H,Kent State,7
Northern Illinois,29,H,Akron,16
Ohio,35,H,Eastern Michigan,10
East Carolina,38,A,Tulsa,31
Arizona,27,H,Houston,3
Colorado State,24,H,Wyoming,10
Texas-San Antonio,48,H,North Texas,27
Washington,31,H,UCLA,19
Air Force,28,H,Oregon State,0
Alabama,52,H,Mercer,7
Arizona State,24,A,Kansas State,14
Arkansas State,27,A,Georgia State,20
Auburn,48,H,Louisiana-Monroe,14
Baylor,49,A,West Virginia,35
Boise State,42,A,San Jose State,21
Clemson,24,A,Pittsburgh,20
Colorado,49,H,Utah,24
Florida,27,H,Louisiana State,16
Georgia,31,H,Tennessee,17
Illinois,38,H,Michigan State,16
Iowa State,34,H,Cincinnati,17
Jacksonville State,34,H,Florida International,31
James Madison,35,A,Old Dominion,32
Kansas,17,A,Brigham Young,13
Kentucky,48,H,Murray State,6
Liberty,35,A,Massachusetts,34
Louisiana Tech,12,A,Western Kentucky,7
Marshall,31,H,Coastal Carolina,19
Memphis,53,H,Alabama-Birmingham,18
Nevada-Las Vegas,41,H,San Diego State,20
New Mexico,38,H,Washington State,35
North Carolina,31,H,Wake Forest,24
Notre Dame,35,H,Virginia,14
Ohio State,31,A,Northwestern,7
Oregon,16,A,Wisconsin,13
Penn State,49,A,Purdue,10
Rutgers,31,A,Maryland,17
Sam Houston,23,A,Kennesaw State,17
South Alabama,24,A,Louisiana,22
South Carolina,34,H,Missouri,30
South Florida,59,A,Charlotte,24
Southern California,28,H,Nebraska,20
Southern Methodist,38,H,Boston College,28
Stanford,38,H,Louisville,35
Syracuse,33,A,California,25
Temple,18,H,Florida Atlantic,15
Texas,20,A,Arkansas,10
Texas A&M,38,H,New Mexico State,3
Texas State,58,H,Southern Mississippi,3
Troy,28,A,Georgia Southern,20
Tulane,35,A,Navy,0
Utah State,55,H,Hawaii,10
Akron,38,A,Kent State,17
Central Michigan,16,H,Western Michigan,14
Miami OH,20,H,Northern Illinois,9
Buffalo,37,A,Eastern Michigan,20
Ohio,24,A,Toledo,7
Georgia Tech,30,H,North Carolina State,29
Michigan State,24,H,Purdue,17
Nevada-Las Vegas,27,A,San Jose State,16
Texas-San Antonio,51,H,Temple,27
Air Force,22,A,Nevada,19
Alabama-Birmingham,40,H,Rice,14
Appalachian State,34,H,James Madison,20
Arizona State,28,H,Brigham Young,23
Arkansas,35,H,Louisiana Tech,14
Arkansas State,28,H,Louisiana-Monroe,21
Auburn,43,H,Texas A&M,41
Baylor,20,A,Houston,10
Boise State,17,A,Wyoming,13
Boston College,41,H,North Carolina,21
Bowling Green,38,A,Ball State,13
California,24,H,Stanford,21
Charlotte,39,A,Florida Atlantic,27
Clemson,51,H,Citadel,14
